Length,Size,Preorder,Postorder,Randorder
256,1.00 KB,5,5,5
276,1.07 KB,5,5,5
486,1.89 KB,5,5,5
2596,10.14 KB,5,5,5
23706,92.60 KB,5,5,9
234816,917.25 KB,5,5,36
1310720,5.00 MB,5,6,149
